   vsn    | size  | free  | location |  modified  |   ship   | transit 
 OSOD-116 |  2000 | 1526 | wn       | 2019-10-30 | 1113606690   | f
 USN-0142 |  2000 | 2000 | wn       | 2019-11-05 | 2248163352   | f
 WSRT-058 |  2000 | 2000 | wn       | 2019-11-05 | 1576464971   | f
 MED-0040 |  2560 | 2560 | wn       | 2020-07-31 | 4064548412   | t
 SHAO-024 |  2000 | 2000 | wn       | 2020-07-21 | 5555979634   | f
 NAIC-003 |  2000 | 2000 | wn       | 2020-08-07 | 1816388792   | t
(72 rows)

   vsn    | size  | free  | location |  modified  |    ship    | transit 
----------+-------+-------+----------+------------+------------+---------
 HOB+0041 |  6000 |  1220 | ff       | 2020-02-18 | 3825179315 | f
 HOB+1009 | 16000 | 15999 | ff       | 2020-02-18 |            | f
 NRAO+257 |  6000 |  5999 | ff       | 2020-02-18 |            | f
 USN-0063 |  4000 |  4000 | ff       |            |            | f
 HOB+0076 |  8000 |  8000 | ff       | 2020-02-18 |            | f
 UAO-0101 |  4000 |  4000 | ff       | 2020-02-18 | URV76361   | f
 HAY-0001 |   960 |   960 | ff       |            |            | f
 HAY-0056 |  6000 |  6000 | ff       |            |            | f
 OAN+0103 |  6000 |  6000 | ff       | 2020-02-18 |            | f
 UVLBI+83 |  6000 |  3997 | ff       | 2020-02-18 |            | f
 USN-0072 |  6000 |  6000 | ff       |            |            | f
 OSOD-351 |  4000 |  4000 | ff       | 2020-02-18 |            | f
(12 rows)

